Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Kattge, Jens; Diaz, Sandra; Lavorel, Sandra; Prentice, I Colin; Leadley, Paul; Bönisch, Gerhard; Garnier, Eric; Westoby, Mark; Reich, Peter B; Wright, Ian J; ",TRY–a global database of plant traits,Global change biology,17,9,2905-2935,2011,Wiley Online Library
"Newbold, Tim; Hudson, Lawrence N; Hill, Samantha LL; Contu, Sara; Lysenko, Igor; Senior, Rebecca A; Börger, Luca; Bennett, Dominic J; Choimes, Argyrios; Collen, Ben; ",Global effects of land use on local terrestrial biodiversity,Nature,520,7545,45-50,2015,Nature Publishing Group
"Díaz, Sandra; Kattge, Jens; Cornelissen, Johannes HC; Wright, Ian J; Lavorel, Sandra; Dray, Stéphane; Reu, Björn; Kleyer, Michael; Wirth, Christian; Prentice, I Colin; ",The global spectrum of plant form and function,Nature,529,7585,167-171,2016,Nature Publishing Group
"Kunstler, Georges; Falster, Daniel; Coomes, David A; Hui, Francis; Kooyman, Robert M; Laughlin, Daniel C; Poorter, Lourens; Vanderwel, Mark; Vieilledent, Ghislain; Wright, S Joseph; ",Plant functional traits have globally consistent effects on competition,Nature,529,7585,204-207,2016,Nature Publishing Group
"Adams, Henry D; Zeppel, Melanie JB; Anderegg, William RL; Hartmann, Henrik; Landhäusser, Simon M; Tissue, David T; Huxman, Travis E; Hudson, Patrick J; Franz, Trenton E; Allen, Craig D; ",A multi-species synthesis of physiological mechanisms in drought-induced tree mortality,Nature ecology & evolution,1,9,1285-1291,2017,Nature Publishing Group
"Violle, Cyrille; Reich, Peter B; Pacala, Stephen W; Enquist, Brian J; Kattge, Jens; ",The emergence and promise of functional biogeography,Proceedings of the National Academy of Sciences,111,38,13690-13696,2014,National Acad Sciences
"De Vries, Franciska T; Manning, Pete; Tallowin, Jerry RB; Mortimer, Simon R; Pilgrim, Emma S; Harrison, Kathryn A; Hobbs, Phil J; Quirk, Helen; Shipley, Bill; Cornelissen, Johannes HC; ",Abiotic drivers and plant traits explain landscape‐scale patterns in soil microbial communities,Ecology letters,15,11,1230-1239,2012,Wiley Online Library
"Adler, Peter B; Salguero-Gómez, Roberto; Compagnoni, Aldo; Hsu, Joanna S; Ray-Mukherjee, Jayanti; Mbeau-Ache, Cyril; Franco, Miguel; ",Functional traits explain variation in plant life history strategies,Proceedings of the National Academy of Sciences,111,2,740-745,2014,National Acad Sciences
"García‐Palacios, Pablo; Maestre, Fernando T; Kattge, Jens; Wall, Diana H; ",Climate and litter quality differently modulate the effects of soil fauna on litter decomposition across biomes,Ecology letters,16,8,1045-1053,2013,Wiley Online Library
"McMahon, Sean M; Harrison, Sandy P; Armbruster, W Scott; Bartlein, Patrick J; Beale, Colin M; Edwards, Mary E; Kattge, Jens; Midgley, Guy; Morin, Xavier; Prentice, I Colin; ",Improving assessment and modelling of climate change impacts on global terrestrial biodiversity,Trends in Ecology & Evolution,26,5,249-259,2011,Elsevier
"Kunstler, Georges; Lavergne, Sébastien; Courbaud, Benoît; Thuiller, Wilfried; Vieilledent, Ghislain; Zimmermann, Niklaus E; Kattge, Jens; Coomes, David A; ","Competitive interactions between forest trees are driven by species' trait hierarchy, not phylogenetic or functional similarity: implications for forest community assembly",Ecology letters,15,8,831-840,2012,Wiley Online Library
"Bjorkman, Anne D; Myers-Smith, Isla H; Elmendorf, Sarah C; Normand, Signe; Rüger, Nadja; Beck, Pieter SA; Blach-Overgaard, Anne; Blok, Daan; Cornelissen, J Hans C; Forbes, Bruce C; ",Plant functional trait change across a warming tundra biome,Nature,562,7725,57-62,2018,Nature publishing group
"Goll, Daniel S; Brovkin, Victor; Parida, BR; Reick, Christian H; Kattge, Jens; Reich, Peter B; Van Bodegom, PM; Niinemets, Ü; ","Nutrient limitation reduces land carbon uptake in simulations with a model of combined carbon, nitrogen and phosphorus cycling",Biogeosciences,9,9,3547-3569,2012,Copernicus GmbH
"Atkin, Owen K; Bloomfield, Keith J; Reich, Peter B; Tjoelker, Mark G; Asner, Gregory P; Bonal, Damien; Bönisch, Gerhard; Bradford, Matt G; Cernusak, Lucas A; Cosio, Eric G; ","Global variability in leaf respiration in relation to climate, plant functional types and leaf traits",New Phytologist,206,2,614-636,2015,Wiley Online Library
"Kattge, Jens; Bönisch, Gerhard; Díaz, Sandra; Lavorel, Sandra; Prentice, Iain Colin; Leadley, Paul; Tautenhahn, Susanne; Werner, Gijsbert DA; Aakala, Tuomas; Abedi, Mehdi; ",TRY plant trait database–enhanced coverage and open access,Global change biology,26,1,119-188,2020,Wiley Online Library
"Moles, Angela T; Perkins, Sarah E; Laffan, Shawn W; Flores‐Moreno, Habacuc; Awasthy, Monica; Tindall, Marianne L; Sack, Lawren; Pitman, Andy; Kattge, Jens; Aarssen, Lonnie W; ",Which is a better predictor of plant traits: temperature or precipitation?,Journal of Vegetation Science,25,5,1167-1180,2014,Wiley Online Library
"Walker, Anthony P; Beckerman, Andrew P; Gu, Lianhong; Kattge, Jens; Cernusak, Lucas A; Domingues, Tomas F; Scales, Joanna C; Wohlfahrt, Georg; Wullschleger, Stan D; Woodward, F Ian; ","The relationship of leaf photosynthetic traits–Vcmax and Jmax–to leaf nitrogen, leaf phosphorus, and specific leaf area: a meta‐analysis and modeling study",Ecology and evolution,4,16,3218-3235,2014,Wiley Online Library
"Ruiz‐Benito, Paloma; Gómez‐Aparicio, Lorena; Paquette, Alain; Messier, Christian; Kattge, Jens; Zavala, Miguel A; ",Diversity increases carbon storage and tree productivity in S panish forests,Global Ecology and Biogeography,23,3,311-322,2014,Wiley Online Library
"Jetz, Walter; Cavender-Bares, Jeannine; Pavlick, Ryan; Schimel, David; Davis, Frank W; Asner, Gregory P; Guralnick, Robert; Kattge, Jens; Latimer, Andrew M; Moorcroft, Paul; ",Monitoring plant functional diversity from space,Nature plants,2,3,5-Jan,2016,Nature Publishing Group
"Reichstein, Markus; Bahn, Michael; Mahecha, Miguel D; Kattge, Jens; Baldocchi, Dennis D; ",Linking plant and ecosystem functional biogeography,Proceedings of the National Academy of Sciences,111,38,13697-13702,2014,National Acad Sciences
"Greenwood, Sarah; Ruiz‐Benito, Paloma; Martínez‐Vilalta, Jordi; Lloret, Francisco; Kitzberger, Thomas; Allen, Craig D; Fensham, Rod; Laughlin, Daniel C; Kattge, Jens; Bönisch, Gerhard; ","Tree mortality across biomes is promoted by drought intensity, lower wood density and higher specific leaf area",Ecology letters,20,4,539-553,2017,Wiley Online Library
"Pierce, Simon; Negreiros, Daniel; Cerabolini, Bruno EL; Kattge, Jens; Díaz, Sandra; Kleyer, Michael; Shipley, Bill; Wright, Stuart Joseph; Soudzilovskaia, Nadejda A; Onipchenko, Vladimir G; ",A global method for calculating plant CSR ecological strategies applied across biomes world‐wide,Functional ecology,31,2,444-457,2017,Wiley Online Library
